,file,distinct_dates,dates
1,/mnt/data/T2_SCAN_2025-06-08_partZIPs_recur/part2/part2.txt,114,"2012-11-28, 2014-04-11, 2018-12-16, 2019-02-11, 2019-09-13, 2021-06-13, 2021-07-20, 2021-10-01, 2022-04-05, 2022-07-11, 2023-03-01, 2023-11-20, 2024-02-25, 2024-02-27, 2024-04-11, 2024-04-12, 2024-05-13, 2024-06-17, 2024-06-28, 2024-06-29, 2024-07-18, 2024-09-27, 2024-10-02, 2024-10-11, 2024-10-31, 2024-11-01, 2024-11-12, 2024-12-02, 2024-12-03, 2024-12-04, 2024-12-05, 2024-12-19, 2024-12-21, 2025-01-06, 2025-01-09, 2025-01-23, 2025-02-05, 2025-02-07, 2025-03-03, 2025-03-04, 2025-03-25, 2025-03-"
0,/mnt/data/T2_SCAN_2025-06-08_partZIPs_recur/part1/part1.txt,92,"2018-12-16, 2021-04-21, 2021-06-02, 2022-04-05, 2023-06-25, 2023-08-03, 2024-06-10, 2024-06-16, 2024-06-21, 2024-06-22, 2024-06-26, 2024-06-28, 2024-06-29, 2024-06-30, 2024-08-01, 2024-08-03, 2024-09-06, 2024-09-28, 2024-09-29, 2024-10-02, 2024-11-21, 2024-12-17, 2024-12-25, 2025-01-01, 2025-03-03, 2025-04-02, 2025-04-28, 2025-05-01, 2025-05-03, 2025-05-29, 2025-06-03, 2025-06-04, 2025-06-08, 2025-06-09, 2025-06-10, 2025-06-11, 2025-06-12, 2025-06-15, 2025-06-16, 2025-06-18, 2025-06-21, 2025-06-"
2,/mnt/data/T2_SCAN_2025-06-08_partZIPs_recur/part3/part3.txt,70,"2012-03-06, 2012-10-05, 2012-10-12, 2013-02-09, 2013-10-22, 2013-10-25, 2014-01-20, 2015-01-09, 2016-07-01, 2016-07-29, 2016-09-16, 2017-05-16, 2017-05-18, 2017-06-02, 2017-08-09, 2017-11-14, 2018-03-19, 2018-11-24, 2019-03-02, 2019-03-10, 2019-05-25, 2020-02-09, 2020-05-06, 2020-05-31, 2020-08-04, 2021-12-13, 2022-01-04, 2022-01-27, 2022-02-23, 2022-07-26, 2022-08-22, 2022-11-09, 2022-12-03, 2023-01-12, 2023-06-29, 2023-08-20, 2023-09-26, 2023-10-10, 2023-10-24, 2024-01-20, 2024-06-17, 2024-07-"
