file,keyword,pos
DroopCount_context.csv,OKX,77143
DroopCount_context.csv,OKX,77226
DroopCount_context.csv,OKX,77309
DroopCount_context.csv,OKX,77392
DroopCount_context.csv,OKX,77578
DroopCount_context.csv,OKX,77661
DroopCount_context.csv,OKX,77744
DroopCount_context.csv,OKX,77827
DroopCount_context.csv,OKX,77910
DroopCount_context.csv,OKX,78076
DroopCount_context.csv,OKX,78159
DroopCount_context.csv,OKX,78242
DroopCount_context.csv,OKX,78325
DroopCount_context.csv,OKX,78408
DroopCount_context.csv,OKX,78491
DroopCount_context.csv,OKX,78603
DroopCount_context.csv,OKX,78686
DroopCount_context.csv,OKX,78769
DroopCount_context.csv,OKX,78852
DroopCount_context.csv,OKX,78935
DroopCount_context.csv,OKX,79018
DroopCount_context.csv,OKX,79121
DroopCount_context.csv,OKX,79204
DroopCount_context.csv,OKX,79287
DroopCount_context.csv,OKX,79370
DroopCount_context.csv,OKX,79453
DroopCount_context.csv,OKX,79537
DroopCount_context.csv,OKX,79723
DroopCount_context.csv,OKX,79806
DroopCount_context.csv,OKX,79889
DroopCount_context.csv,OKX,79973
DroopCount_context.csv,OKX,80109
DroopCount_context.csv,OKX,80218
DroopCount_context.csv,OKX,80302
DroopCount_context.csv,OKX,80438
DroopCount_context.csv,OKX,80675
DroopCount_context.csv,OKX,80876
DroopCount_context.csv,OKX,81113
DroopCount_context.csv,OKX,81305
DroopCount_context.csv,OKX,81542
DroopCount_context.csv,OKX,81779
DroopCount_context.csv,OKX,81972
DroopCount_context.csv,OKX,82209
DroopCount_context.csv,OKX,82537
DroopCount_context.csv,OKX,82774
DroopCount_context.csv,OKX,82973
DroopCount_context.csv,OKX,83210
DroopCount_context.csv,OKX,83640
DroopCount_context.csv,OKX,83877
DroopCount_context.csv,OKX,84068
DroopCount_context.csv,OKX,84305
DroopCount_context.csv,OKX,84633
DroopCount_context.csv,OKX,84870
DroopCount_context.csv,OKX,85308
DroopCount_context.csv,OKX,85545
DroopCount_context.csv,OKX,85737
DroopCount_context.csv,OKX,85974
DroopCount_context.csv,OKX,86404
DroopCount_context.csv,OKX,86641
DroopCount_context.csv,OKX,86731
DroopCount_context.csv,OKX,86968
DroopCount_context.csv,OKX,87205
DroopCount_context.csv,OKX,87406
DroopCount_context.csv,OKX,87643
DroopCount_context.csv,OKX,87835
DroopCount_context.csv,OKX,88072
DroopCount_context.csv,OKX,88502
DroopCount_context.csv,OKX,88740
